iter	Logloss
0	0.6357551105
1	0.5813099901
2	0.540556948
3	0.5055049858
4	0.4774755808
5	0.4547791825
6	0.4331474485
7	0.4119643367
8	0.3991514234
9	0.3889178611
10	0.3777370088
11	0.3682282569
12	0.3607195523
13	0.3521454487
14	0.3414804127
15	0.3340901256
16	0.3271111447
17	0.3178983043
18	0.3135961378
19	0.3088671448
20	0.3002002195
21	0.2968081563
22	0.2950458693
23	0.2921778654
24	0.2878824266
25	0.2830235251
26	0.2756684189
27	0.2736187334
28	0.2670928391
29	0.2626959317
30	0.2583147238
31	0.2543262564
32	0.2539010189
33	0.2522568069
34	0.2490123231
35	0.2459644652
36	0.2416453805
37	0.2373139143
38	0.2342742004
39	0.2309588243
40	0.2276625017
41	0.2240457562
42	0.2208006218
43	0.2179471312
44	0.2159414492
45	0.2125531951
46	0.2098101276
47	0.2091546513
48	0.2084283794
49	0.2048985748
50	0.2025536235
51	0.199475035
52	0.1973898303
53	0.1943340078
54	0.1915231703
55	0.1886653444
56	0.187361029
57	0.1857068839
58	0.184773303
59	0.1831267952
60	0.1793315094
61	0.1788309072
62	0.1758647591
63	0.1747306081
64	0.1724387475
65	0.1720658922
66	0.1714951954
67	0.1686695941
68	0.1669804827
69	0.1645449023
70	0.1619432163
71	0.1602882223
72	0.1577803758
73	0.1567421975
74	0.1564636698
75	0.1544509249
76	0.1506345883
77	0.1485849694
78	0.1455092909
79	0.1441711213
80	0.1425137418
81	0.1421255831
82	0.1401881231
83	0.1378048413
84	0.1363093782
85	0.1357579839
86	0.1323134364
87	0.1320438635
88	0.1313795878
89	0.128654828
90	0.1281269567
91	0.1267206891
92	0.1241753489
93	0.1221615975
94	0.1202848129
95	0.1200845427
96	0.1187773703
97	0.1170416342
98	0.1154709961
99	0.1134198928
